Season,Player,Actual WS,Predicted WS,Residual,Pts/G,Reb/G,Ast/G
2005-06,Chauncey Billups,15.5,8.263375008414407,7.236624991585593,18.5,3.1,8.6
2008-09,LeBron James,20.3,13.651676318804364,6.648323681195636,28.4,7.6,7.2
1995-96,Michael Jordan,20.4,13.892009433160727,6.507990566839272,30.4,6.6,4.3
2003-04,Ben Wallace,10.2,3.8873414335295484,6.312658566470451,9.5,12.4,1.7
2001-02,Ben Wallace,11.6,5.562321335671633,6.037678664328367,7.6,13.0,1.4
1996-97,Michael Jordan,18.3,12.542480803348557,5.757519196651444,29.6,5.9,4.3
1999-00,Shaquille O'Neal,18.6,13.2279860294909,5.3720139705091015,29.7,13.6,3.8
1997-98,Michael Jordan,15.8,10.460226296616991,5.33977370338301,28.7,5.8,3.5
2002-03,Ben Wallace,10.6,5.268130242990689,5.3318697570093105,6.9,15.4,1.6
2005-06,Dirk Nowitzki,17.7,12.42929087808563,5.2707091219143685,26.6,9.0,2.8
2000-01,David Robinson,12.1,7.124411926139055,4.975588073860945,14.4,8.6,1.5
1997-98,Reggie Miller,12.0,7.436850311091729,4.563149688908271,19.5,2.9,2.1
1996-97,Tim Hardaway,12.9,8.352239753990762,4.547760246009238,20.3,3.4,8.6
2007-08,Chris Paul,17.8,13.33861060176292,4.461389398237081,21.1,4.0,11.6
2013-14,Kevin Durant,19.2,14.86738248132739,4.33261751867261,32.0,7.4,5.5
