Season,Player,Actual WS,Predicted WS,Residual,Pts/G,Reb/G,Ast/G
1994-95,Michael Jordan,2.3,10.778281979824795,-8.478281979824796,26.9,6.9,5.3
1980-81,Magic Johnson,6.4,14.693851065752137,-8.293851065752136,21.6,8.6,8.6
1991-92,Larry Bird,5.5,12.409577947729451,-6.909577947729451,20.2,9.6,6.8
1990-91,Bernard King,3.5,9.787808898604279,-6.287808898604279,28.4,5.0,4.6
1990-91,Larry Bird,6.6,12.223725560877769,-5.623725560877769,19.4,8.5,7.2
1990-91,Hakeem Olajuwon,8.6,13.972406975248875,-5.372406975248875,21.2,13.8,2.3
1984-85,Bernard King,7.1,12.346890446925403,-5.246890446925404,32.9,5.8,3.7
1983-84,Magic Johnson,10.2,15.243338811567792,-5.043338811567793,17.6,7.3,13.1
1998-99,Kevin Garnett,5.4,10.238738528163685,-4.8387385281636845,20.8,10.4,4.3
2017-18,Joel Embiid,6.2,10.98054462418902,-4.78054462418902,22.9,11.0,3.2
1995-96,Magic Johnson,3.6,8.379433724316295,-4.779433724316295,14.6,5.7,6.9
1989-90,Larry Bird,9.5,14.279232002751217,-4.7792320027512165,24.3,9.5,7.5
1995-96,Shaquille O'Neal,6.9,11.540054858092878,-4.640054858092878,26.6,11.0,2.9
1986-87,Charles Barkley,12.0,16.577927801362755,-4.577927801362755,23.0,14.6,4.9
2001-02,Michael Jordan,3.3,7.817579953553978,-4.5175799535539785,22.9,5.7,5.2
