player,year,status,all_nba_1st_count_before_year,made_all_nba_prev3_seasons,made_all_nba_that_season,mvp_winner_any_before_year,mvp_top5_prev3_years,current_impact_gate,superstar_votes,rising_superstar_votes,max_model_probability
Dwight Howard,2012,former_superstar,4,1,1,0,1,0,3,0,0.3844
Tim Duncan,2012,former_superstar,4,1,0,1,0,0,1,0,0.6136
Dirk Nowitzki,2012,former_superstar,4,1,1,1,0,0,1,0,0.1207
Kobe Bryant,2012,former_superstar,8,1,1,1,1,0,0,0,0.0028
Kevin Garnett,2012,former_superstar,3,0,0,1,0,0,0,0,0.001
Steve Nash,2012,former_superstar,3,1,0,1,0,0,0,0,0.0
LeBron James,2012,superstar,5,1,1,1,1,1,4,0,0.9943
Dwyane Wade,2012,superstar,2,1,1,0,1,1,0,4,0.2977
Dwight Howard,2013,former_superstar,5,1,1,0,1,0,1,0,1.0
Dirk Nowitzki,2013,former_superstar,4,1,0,1,0,0,0,0,0.0333
Tim Duncan,2013,former_superstar,4,1,1,1,0,1,0,0,0.018
Kobe Bryant,2013,former_superstar,9,1,1,1,1,0,0,0,0.0011
Kevin Garnett,2013,former_superstar,3,0,0,1,0,0,0,0,0.0004
Steve Nash,2013,former_superstar,3,1,0,1,0,0,0,0,0.0
LeBron James,2013,superstar,6,1,1,1,1,1,4,0,0.8458
Dwyane Wade,2013,superstar,2,1,1,0,1,1,0,1,0.1562
Kevin Durant,2013,superstar,3,1,1,0,1,1,0,0,0.0924
Tim Duncan,2014,former_superstar,5,1,0,1,0,0,0,0,0.0359
Dwight Howard,2014,former_superstar,5,1,1,0,1,0,0,0,0.0025
Dirk Nowitzki,2014,former_superstar,4,1,0,1,0,1,0,0,0.0009
Kobe Bryant,2014,former_superstar,10,1,0,1,1,0,0,0,0.0005
Kevin Garnett,2014,former_superstar,3,0,0,1,0,0,0,0,0.0002
Steve Nash,2014,former_superstar,3,0,0,1,0,0,0,0,0.0
LeBron James,2014,superstar,7,1,1,1,1,1,6,0,1.0
Kevin Durant,2014,superstar,4,1,1,1,1,1,3,0,0.2871
Chris Paul,2014,superstar,3,1,1,0,1,1,1,0,0.993
Tim Duncan,2015,former_superstar,5,1,1,1,0,1,0,0,0.0056
Dirk Nowitzki,2015,former_superstar,4,1,0,1,0,0,0,0,0.0014
Dwight Howard,2015,former_superstar,5,1,0,0,0,0,0,0,0.0
Kevin Garnett,2015,former_superstar,3,0,0,1,0,0,0,0,0.0
Kobe Bryant,2015,former_superstar,10,1,0,1,1,0,0,0,0.0
Kevin Durant,2015,superstar,5,1,0,1,1,1,6,0,1.0
LeBron James,2015,superstar,8,1,1,1,1,1,6,0,1.0
Chris Paul,2015,superstar,4,1,1,0,1,1,2,0,1.0
Tim Duncan,2016,former_superstar,5,1,0,1,0,0,1,0,0.2372
Dirk Nowitzki,2016,former_superstar,4,0,0,1,0,0,0,0,0.0008
Dwight Howard,2016,former_superstar,5,1,0,0,0,0,0,0,0.0
Kevin Garnett,2016,former_superstar,3,0,0,1,0,0,0,0,0.0
Kobe Bryant,2016,former_superstar,10,1,0,1,1,0,0,0,0.0
Chris Paul,2016,superstar,4,1,1,0,1,1,6,0,1.0
Kevin Durant,2016,superstar,5,1,1,1,1,1,6,0,1.0
LeBron James,2016,superstar,9,1,1,1,1,1,6,0,1.0
Stephen Curry,2016,superstar,1,1,1,1,1,1,0,5,0.9877
Russell Westbrook,2016,superstar,0,1,1,0,1,1,0,2,0.4151
Dirk Nowitzki,2017,former_superstar,4,0,0,1,0,0,0,0,0.0011
Dwight Howard,2017,former_superstar,5,1,0,0,0,1,0,0,0.0
Chris Paul,2017,superstar,4,1,0,0,0,1,6,0,1.0
Kevin Durant,2017,superstar,5,1,1,1,1,1,6,0,1.0
LeBron James,2017,superstar,10,1,1,1,1,1,4,0,0.9904
Stephen Curry,2017,superstar,2,1,1,1,1,1,0,5,1.0
James Harden,2017,superstar,2,1,1,0,1,1,0,4,0.9326
Russell Westbrook,2017,superstar,1,1,1,1,1,1,0,2,0.9115
Kawhi Leonard,2017,superstar,1,1,1,0,1,1,0,2,0.5071
